circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
46,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.534282792118e+05,23670252899368,28345441,0.000000000000e+00,0,23817596,0.000000000000e+00,0.000000000000e+00,3.987608263323e+02,1.590101966172e+05,1.000000000000e+00,1,4556433014000,203518029525
47,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.313651152532e+06,198676177392994,82121060,1.630534888886e-18,0,69003225,1.444223244713e-39,4.992260240595e-14,6.787318007883e+02,4.606768574013e+05,1.000000000000e+00,1,13504890801000,579596791361
48,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.126557711499e+05,11254302703200,19545246,0.000000000000e+00,0,16423124,0.000000000000e+00,0.000000000000e+00,3.311245755385e+02,1.096434845256e+05,1.000000000000e+00,1,3128967152000,141170265940
49,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.827500389987e+05,111191562338013,61435244,2.940972388469e-18,0,51621712,2.297971890523e-40,1.489756969007e-14,5.870562418239e+02,3.446350310644e+05,1.000000000000e+00,1,10017034972000,432125156676
50,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.633031393677e+05,50653539594478,41465472,2.058983643828e-18,0,34841864,5.653835565325e-40,1.577188637021e-14,4.822966065854e+02,2.326100167237e+05,1.000000000000e+00,1,6788174804000,296246900433
51,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.095410791467e+05,29891251461476,31853254,-4.820122665635e-18,0,26765079,2.621464375581e-37,2.608862454461e-13,4.227151213690e+02,1.786880738340e+05,1.000000000000e+00,1,5153020955000,227208411885
52,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.409012843432e+05,6681345402303,15059615,0.000000000000e+00,0,12654018,0.000000000000e+00,0.000000000000e+00,2.906549652960e+02,8.448030885121e+04,1.000000000000e+00,1,2379236516000,108991110801
53,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.838410541777e+05,26952007849821,30246653,1.664971860503e-19,0,25415113,2.368091334775e-42,7.445638388108e-16,4.119168328336e+02,1.696754771717e+05,1.000000000000e+00,1,4881003306000,215690575402
54,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.131759879391e+05,11291785126051,19577767,0.000000000000e+00,0,16450450,0.000000000000e+00,0.000000000000e+00,3.313999327099e+02,1.098259154001e+05,1.000000000000e+00,1,3071540224000,140209460188
55,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,534000,554674
